"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Projects\energywise-project\src\controllers\LocationController.mjs", "JavaScript", 21, 0, 0, 7, 28
"c:\Projects\energywise-project\src\models\ApplianceModel.mjs", "JavaScript", 31, 0, 1, 8, 40
"c:\Projects\energywise-project\src\models\DataModel.mjs", "JavaScript", 53, 0, 0, 15, 68
"c:\Projects\energywise-project\src\models\LocationApplianceModel.mjs", "JavaScript", 13, 0, 2, 3, 18
"c:\Projects\energywise-project\src\models\LocationModel.mjs", "JavaScript", 53, 0, 6, 15, 74
"c:\Projects\energywise-project\src\public\scripts\locations.mjs", "JavaScript", 0, 0, 0, 1, 1
"c:\Projects\energywise-project\src\routes\locations.mjs", "JavaScript", 7, 0, 0, 3, 10
"c:\Projects\energywise-project\src\server.mjs", "JavaScript", 14, 0, 3, 9, 26
"c:\Projects\energywise-project\src\views\locations.ejs", "HTML", 0, 0, 0, 1, 1
"c:\Projects\energywise-project\src\views\partials\locationDetails.ejs", "HTML", 0, 15, 0, 3, 18
"Total", "-", 192, 15, 12, 65, 284
